778.668620,1,3,2.000000
4121.447995,2,7,4.400000
4077.739665,3,8,4.700000
3829.617761,3,7,4.100000
3866.685130,4,5,4.500000
4401.339992,1,7,4.500000
3450.392813,3,6,4.400000
3975.987515,1,7,5.100000
4501.734562,3,7,5.100000
4794.373147,3,7,5.600000
4624.929783,3,8,5.000000
4442.059186,3,6,4.600000
3340.125439,3,7,4.800000
4328.811801,2,6,4.600000
4286.987626,2,6,4.800000
5096.194660,4,7,5.400000
4584.170274,2,8,5.100000
5622.319424,3,8,5.300000
4042.417845,3,7,4.700000
4334.043621,2,6,4.500000
5328.590245,3,7,5.300000
5078.649605,3,6,5.000000
4631.610253,2,8,5.000000
3836.298054,3,6,4.800000
4226.879914,3,7,4.400000
5256.619648,3,7,5.300000
4609.338580,3,6,5.100000
4797.218191,4,7,5.100000
4146.468206,1,8,4.700000
5187.355854,3,8,5.800000
5515.632533,3,8,5.600000
4602.016373,3,6,4.700000
4740.728835,4,7,5.000000
4897.492425,4,7,5.400000
5710.147585,3,8,5.600000
5143.548746,2,7,4.900000
4887.650766,3,8,5.400000
4361.306317,3,7,5.000000
4259.094021,3,6,4.600000
3488.835316,3,7,4.300000
4490.126263,3,6,4.700000
5470.017124,4,8,5.600000
5626.148986,4,7,5.800000
5125.426799,4,7,5.200000
4829.645857,1,8,5.100000
4377.943292,2,8,4.900000
3877.455533,2,8,4.700000
5044.567578,3,6,5.100000
4060.374666,3,8,4.700000
4201.793520,1,7,4.500000
4958.301671,3,7,5.400000
4705.424856,4,7,5.400000
4859.092368,4,6,4.900000
4986.918760,4,7,5.500000
4381.340254,2,6,4.900000
5024.829933,2,7,5.400000
5089.675842,3,7,4.600000
5133.754633,1,7,5.000000
5922.057583,4,7,5.400000
5644.866468,3,9,4.900000
5210.576435,3,7,4.800000
5712.525246,3,6,4.900000
5122.334993,3,8,5.000000
4949.053102,2,7,4.500000
5827.220761,2,7,5.100000
4270.425468,2,6,4.200000
5277.215372,3,7,5.200000
3954.849887,2,6,4.200000
4055.141274,3,6,4.500000
5251.680599,2,5,4.200000
4114.082878,3,7,5.000000
5979.207964,4,7,5.400000
5677.323266,2,7,4.800000
5898.843485,4,7,5.100000
5096.484232,2,6,4.300000
5899.493695,3,7,5.300000
5900.792193,2,7,5.100000
5792.520370,3,7,4.800000
4883.672429,3,6,4.700000
5502.396123,3,9,5.000000
5143.657012,2,7,4.500000
4873.984184,1,7,4.200000
4699.491118,2,6,4.600000
4769.038614,3,8,5.000000
5690.750888,3,6,4.900000
5175.310060,3,8,5.000000
4286.725681,1,6,3.800000
4812.744389,3,6,4.700000
5046.948970,2,7,4.500000
5121.081313,1,6,4.100000
6053.315484,2,8,5.600000
5392.474313,4,8,5.400000
4966.597294,3,7,4.400000
4510.970992,3,6,4.300000
5095.681817,3,6,4.400000
5177.653990,2,6,4.300000
3684.433742,3,5,3.900000
4960.032978,2,8,4.200000
5188.233384,4,6,5.200000
4622.918881,3,6,4.600000
4431.798882,3,6,4.400000
4861.926705,3,8,4.800000
4548.372277,1,7,4.200000
4931.815664,3,6,4.600000
4819.349308,3,6,4.900000
4942.581485,3,6,4.000000
4648.370816,3,6,5.000000
5044.313520,2,6,4.300000
5634.082503,2,7,4.600000
5129.675368,3,7,5.200000
4926.292950,3,7,4.600000
4871.696635,3,7,5.000000
5978.487188,3,8,5.500000
5372.435809,4,6,5.100000
